year,rank,title,artist,lyrics_raw,lyrics_url,lyrics_clean,lines,tokens,vader,fk_grade,ttr,repetition_ratio,compressibility,is_top5
1960,32,Beyond the Sea,Bobby Darin,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,33,"Go, Jimmy, Go",Jimmy Clanton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,34,Night,Jackie Wilson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,35,Burning Bridges,Jack Scott,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,36,The Big Hurt,Toni Fisher,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,37,Because They're Young,Duane Eddy,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,38,Lonely Blue Boy,Conway Twitty,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,39,Pretty Blue Eyes,Steve Lawrence,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,40,Way Down Yonder in New Orleans,Freddy Cannon,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,41,Paper Roses,Anita Bryant,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,42,Mr. Custer,Larry Verne,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,43,I Want to Be Wanted,Brenda Lee,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,44,Mule Skinner Blues,The Fendermen,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,45,Cradle of Love,Johnny Preston,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,46,You Got What It Takes,Marv Johnson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,47,"Please Help Me, I'm Falling",Hank Locklin,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,48,Love You So,Ron Holden,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,49,Finger Poppin' Time,Hank Ballard & The Midnighters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,50,Harbor Lights,The Platters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,51,Let the Little Girl Dance,Billy Bland,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,52,He'll Have to Stay,Jeanne Black,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,53,Theme from The Apartment,Ferrante & Teicher,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,54,Volare,Bobby Rydell,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,55,A Million to One,Jimmy Charles,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,56,The Village of St. Bernadette,Andy Williams,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,57,White Silver Sands,Bill Black's Combo,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,58,The Old Lamp-Lighter,The Browns,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,59,Devil or Angel,Bobby Vee,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,60,Down by the Station,The Four Preps,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,61,Forever,The Little Dippers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,62,Image of a Girl,The Safaris & The Phantom's Band,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,63,Kiddio,Brook Benton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,64,Mission Bell,Donnie Brooks,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,65,I Love the Way You Love,Marv Johnson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,66,It's Time to Cry,Paul Anka,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,67,Tell Laura I Love Her,Ray Peterson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,68,Mama,Connie Francis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,69,Footsteps,Steve Lawrence,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,70,So Sad,The Everly Brothers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,71,That's All You Gotta Do,Brenda Lee,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,72,Walking to New Orleans,Fats Domino,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,73,Among My Souvenirs,Connie Francis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,74,Swingin' School,Bobby Rydell,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,75,A Rockin' Good Way (to Mess Around and Fall in Love),Dinah Washington & Brook Benton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,76,Stairway to Heaven,Neil Sedaka,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,77,My Home Town,Paul Anka,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,78,Georgia on My Mind,Ray Charles,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,79,Cherry Pie,Skip & Flip,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,80,Wonderful World,Sam Cooke,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,81,Tracy's Theme,Robert Mersey,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,82,Lady Luck,Lloyd Price,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,83,Step by Step,The Crests,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,84,Happy-Go-Lucky Me,Paul Evans,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,85,Young Emotions,Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,86,Dreamin,Johnny Burnette,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,87,Poetry in Motion,Johnny Tillotson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,88,O Dio Mio,Annette Funicello,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,89,You Talk Too Much,Joe Jones,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,90,Beatnik Fly,Johnny and the Hurricanes,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,91,When Will I Be Loved,The Everly Brothers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,92,Let's Think About Living,Bob Luman,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,93,Heartaches by the Number,Guy Mitchell,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,94,My Little Corner of the World,Anita Bryant,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,95,Doggin' Around,Jackie Wilson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,96,Little Bitty Girl,Bobby Rydell,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,97,Money (That's What I Want),Barrett Strong,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,98,Stay,Maurice Williams and the Zodiacs,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,99,Lonely Weekends,Charlie Rich,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1960,100,Sandy,Larry Hall,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,6,My True Story,The Jive Five,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,7,Pony Time,Chubby Checker,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,8,Wheels,The String-A-Longs,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,9,Raindrops,Dee Clark,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,10,Wooden Heart,Joe Dowell,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,11,Calcutta,Lawrence Welk,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,12,Take Good Care of My Baby,Bobby Vee,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,13,Running Scared,Roy Orbison,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,14,Dedicated to the One I Love,The Shirelles,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,15,Last Night,The Mar-Keys,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,16,Will You Love Me Tomorrow,The Shirelles,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,17,Exodus,Ferrante & Teicher,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,18,Where the Boys Are,Connie Francis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,19,Hit the Road Jack,Ray Charles,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,20,Sad Movies (Make Me Cry),Sue Thompson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,21,Mother-in-Law,Ernie K-Doe,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,22,Bristol Stomp,The Dovells,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,23,Travelin' Man,Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,24,Shop Around,The Miracles,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,25,The Boll Weevil Song,Brook Benton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,26,A Hundred Pounds of Clay,Gene McDaniels,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,27,The Mountain's High,Dick and Dee Dee,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,28,Don't Worry,Marty Robbins,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,29,On the Rebound,Floyd Cramer,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,30,Portrait of My Love,Steve Lawrence,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,31,Quarter to Three,Gary U.S. Bonds,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1961,33,Calendar Girl,Neil Sedaka,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
