year,rank,title,artist,match_score,source_label
1967,1,To Sir With Love,Lulu,100.0,meta_pos:1967-1
1967,2,The Letter,The Box Tops,100.0,meta_pos:1967-2
1967,3,Ode to Billie Joe,Bobbie Gentry,100.0,meta_pos:1967-3
1967,4,Windy,The Association,100.0,meta_pos:1967-4
1967,5,I'm a Believer,The Monkees,100.0,meta_pos:1967-5
1968,1,Hey Jude,The Beatles,100.0,meta_pos:1968-1
1968,2,Love is Blue,Paul Mauriat,-1.0,
1968,3,Honey,Bobby Goldsboro,100.0,meta_pos:1968-3
1968,4,(Sittin' On) The Dock of the Bay,Otis Redding,100.0,meta_pos:1968-4
1968,5,People Got to Be Free,The Rascals,100.0,meta_pos:1968-5
1969,1,"Sugar, Sugar",The Archies,100.0,meta_pos:1969-1
1969,2,Aquarius/Let the Sunshine In,The 5th Dimension,100.0,meta_pos:1969-2
1969,3,I Can't Get Next to You,The Temptations,100.0,meta_pos:1969-3
1969,4,Honky Tonk Women,The Rolling Stones,100.0,meta_pos:1969-4
1969,5,Everyday People,Sly and the Family Stone,100.0,meta_pos:1969-5
1970,1,Bridge Over Troubled Water,Simon & Garfunkel,100.0,meta_pos:1970-1
1970,2,(They Long to Be) Close to You,The Carpenters,100.0,meta_pos:1970-2
1970,3,American Woman,The Guess Who,100.0,meta_pos:1970-3
1970,4,Raindrops Keep Fallin' on My Head,B.J. Thomas,100.0,meta_pos:1970-4
1970,5,War,Edwin Starr,100.0,meta_pos:1970-5
1971,1,Joy to the World,Three Dog Night,100.0,meta_pos:1971-1
1971,2,"Maggie May""/""Reason to Believe",Rod Stewart,-1.0,
1971,3,"It's Too Late""/""I Feel the Earth Move",Carole King,-1.0,
1971,4,One Bad Apple,The Osmonds,100.0,meta_pos:1971-4
1971,5,How Can You Mend a Broken Heart,Bee Gees,100.0,meta_pos:1971-5
1972,1,The First Time Ever I Saw Your Face,Roberta Flack,100.0,meta_pos:1972-1
1972,2,Alone Again (Naturally),Gilbert O'Sullivan,100.0,meta_pos:1972-2
1972,3,American Pie,Don McLean,100.0,meta_pos:1972-3
1972,4,Without You,Harry Nilsson,100.0,meta_pos:1972-4
1972,5,The Candy Man,Sammy Davis Jr.,100.0,meta_pos:1972-5
1973,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,100.0,meta_pos:1973-1
1973,2,"Bad, Bad Leroy Brown",Jim Croce,100.0,meta_pos:1973-2
1973,3,Killing Me Softly with His Song,Roberta Flack,100.0,meta_pos:1973-3
